q,rho_0-4,rho_5-9,rho_10-19,rho_20-29,rho_30-49,rho_50+,seed,phi
0.2755637546437091,0.05962156585320947,0.018106479447567603,0.005156384881158729,0.007100669295800014,0.008942998355838092,0.027055102837376076,152.7064296963798,6.317299640275855
0.2776920622566254,0.057991172934300145,0.018364448079974793,0.004681128142423309,0.007054235131466869,0.00881679861284572,0.027848897313502617,143.69878737448508,6.037118940659967
0.27942311728545516,0.06084551420771207,0.018343105759164948,0.00480585010180469,0.007942073472570295,0.009452128902271584,0.021116030701825363,140.1735939381585,5.053680508209794
0.27847987686508996,0.05492801788983868,0.0171845353494789,0.004875456722099108,0.006656527926002573,0.008749387379470727,0.024566951214515576,133.84746995965372,5.793650859120019
0.28143936106795764,0.05660342455583456,0.0185864224706085,0.004366321391981339,0.008561882183349823,0.008732905286102228,0.02415055087597145,136.8712344615767,6.873171246398903
0.2817415440548628,0.06098036827077251,0.01828664992469741,0.004613969544592238,0.006575230233646804,0.009605896959101086,0.021626834644561166,133.00638301194675,5.480459288806649
0.2815692796613173,0.05669098959392556,0.018227823771811095,0.004658956743096957,0.00795770646036871,0.00852986826032865,0.02457230275736054,126.15462894549071,5.925323441202831
0.2811037904133636,0.05928014872371834,0.019138977113522315,0.004257823667254973,0.00664833631408606,0.008526101794844507,0.023550538764773095,139.34221051578567,5.686784768409195
0.2808133604945255,0.05591203961437777,0.01893104047082468,0.004208075103404955,0.007247187655714184,0.008792417254771139,0.024815062992891677,131.25982351824862,6.295608606068999
0.2779244308347498,0.06567727295827336,0.017775039827661532,0.005275947627021483,0.007434639802138331,0.00951501100764571,0.024118810086788976,143.5156322722203,4.8768484985362415
0.2757751343192098,0.06594165010567717,0.01891996910691356,0.004739152015744219,0.007576637270411259,0.0082557759347332,0.02242098149684554,160.37743788197668,5.705656972792381
0.27452971144041144,0.0599024069005782,0.021795575140077673,0.004694411714845604,0.007156541512993429,0.010161099450497313,0.025994826602260563,167.20463691204526,5.759390895801764
0.27686116688290546,0.056253164602240995,0.0183252333300815,0.004535238366895047,0.008568120182033522,0.008597082153282535,0.029661589034111223,153.35661332766023,5.062453942660075
0.28573183568619226,0.056423119872948756,0.01750066027703959,0.004411109541616505,0.008187369271835762,0.008178331418436002,0.027199869142447118,115.93515706606496,5.181348200776647
0.2778765703826897,0.06269439048481548,0.018677562967597205,0.004612420747597082,0.006969329037336057,0.009203659338862101,0.022124878964405167,152.9357167311877,6.364326870514395
0.2787470740777533,0.05720169740352579,0.01825951837068393,0.0048030412903825054,0.007949940085483683,0.00955100195554074,0.025661165436322627,139.97992227948174,5.871599658802861
0.2788713583769077,0.06036195188494893,0.018339728305717822,0.004634418734898205,0.007072791721909889,0.008673586786437254,0.02203324258377327,146.16079164034153,5.911981559634095
