beta,phi
1.1213356836126804,2.00451750895867
1.1648550260967259,2.008736054504447
1.1426284750489855,2.0040004484024245
1.1544081306088603,2.0065207650022754
1.1609151038179892,2.0170221894832308
1.1387234121375391,2.0077967302474464
1.1590682817931774,2.0188361778316675
1.1328691129985462,2.030895323947211
1.1319359809009963,2.013776364074869
1.1541971741581525,2.028197006214242
1.1311177952770857,2.026965819686061
1.1407731424939838,2.001961260872538
1.125850006950574,2.000547081679248
1.1494312333624543,2.105357161213857
1.1494312333624543,2.105357161213857
1.146669901307749,2.000619352375263
1.1339057531966505,2.0006090406687336
1.1273842183581861,2.0003693689382054
1.1640449383488738,2.10987296156846
1.1844341143845614,2.0438338262482425
1.15564692851669,2.012258449625719
1.1374838799063176,2.037208489846399
1.1535332723770437,2.0722850737563276
1.1411295438074651,2.056599848729426
1.1356008984636068,2.003265727385218
1.1349284306651677,2.044803750694319
1.152535672171844,2.0262862191901703
1.1362816337309904,2.0204725012559557
1.1362816337309904,2.0204725012559557
1.1465815017259229,2.0069633990671485
1.1503691006064087,2.0060084194694165
1.1503691006064087,2.0060084194694165
1.1032919449237832,2.024573428531766
1.1032919449237832,2.024573428531766
1.1177352817524662,2.0199532313387025
1.1497555559811223,2.020490731711906
1.119025179316238,2.02336320059841
1.1733940860469039,2.0204662424064725
1.1305821698058258,2.0209011437838362
1.1736205505935458,2.008205715741146
1.1255427293084905,2.0113675133992115
1.1619049282075884,2.021106852812387
1.1216122699994977,2.006065161126395
1.1691021605559857,2.055222663709718
1.127336141246874,2.006933941411286
1.1527527448435093,2.0551942188538335
1.1527527448435093,2.0551942188538335
1.1334001971076524,2.0085366379875547
1.1472110383016094,2.0146144922317473
1.141046085175404,2.0397302183182404
1.160385285305774,2.052981446763132
1.1530198097655928,2.0089255138592357
1.1458346600922942,2.046515346081951
1.140705281438656,2.0093102869597668
1.140004597468811,2.0144790997502717
1.1508230234279235,2.0080982867224795
1.1471574000623939,2.0425241183387435
1.1577288701779385,2.0027225763090493
1.1412193064053242,2.047858080644066
1.1436767163676143,2.00644504665975
1.1521128714098094,2.006081483741216
1.1521128714098094,2.006081483741216
1.1468493850265993,2.0595297912707586
1.156929064938107,2.002297981974414
1.1456243958780927,2.0259719907032174
1.1519917246427809,2.0075591183965553
1.1186173836845805,2.0255443300596094
1.1541195695881108,2.0083464831112736
1.1408771535522206,2.0171102280137894
1.1408771535522206,2.0171102280137894
1.1306808584954688,2.0067535509215015
1.1318892844363606,2.006296984716951
1.1530083838239327,2.0566944636177884
1.1604244965403772,2.0266230399782885
1.1388932232808675,2.0011786660514486
1.1406732692969055,2.000204734224768
1.1842976614940375,2.000182896703591
1.1159928412509685,2.0109457123772456
1.0932507871860493,2.001619619133934
1.1307714707299847,2.0027440439913216
1.1122193318949498,2.0194595437651515
1.1101824322617708,2.0449450763481107
1.102143608927648,2.0402326797534234
1.1542422579410299,2.057198711079105
1.1304734880830176,2.0046059012921758
1.1596411266560012,2.000965381079963
1.136666041625208,2.0994944014741317
1.1618393476980848,2.037543127107557
1.1908797025198912,2.0040238672432524
1.1514631868181668,2.0393267268168795
1.1514631868181668,2.0393267268168795
1.1451554651933322,2.008573143657493
1.1671827449747272,2.0116531342587223
1.1219340461746525,2.014392418609702
1.1619781114899008,2.021388684200435
1.1302468285019318,2.01439657603801
1.151663440685374,2.0037557012140503
1.1385021188276312,2.0439935920477463
1.1539129504682726,2.0095330321694806
1.1526511404313242,2.0103299188673796
1.139047816095216,2.0011518981817904
1.105639565586636,2.001509185829523
1.1467877217529783,2.044843688512745
1.1467877217529783,2.044843688512745
1.119731427894818,2.0129680970753796
1.1410135094183893,2.0548044511817274
1.149748490000515,2.0179042073687468
1.147514669334585,2.0097592996780613
1.1030804753105559,2.019248108939641
1.1534103483209313,2.0328290383852985
1.1534103483209313,2.0328290383852985
1.1681350561699853,2.056777398382758
1.154323774041701,2.0101963439677735
1.1742913458651107,2.0361821443902843
1.1230254113097609,2.0104640581632904
1.166000166290699,2.042886595872656
1.1608722555099908,2.047090290855871
1.1543612987664502,2.0249771970875456
1.1388446319973955,2.003039860703568
1.137992849814517,2.0020229389449
1.141324880342396,2.0007692160710513
1.1550850789439813,2.0027004483241426
1.142028726335988,2.001596509045981
1.1542332476688968,2.0472322059277284
1.1470438307946393,2.0046349933385
1.1696267741188602,2.0029154468668002
1.1140000551351763,2.009260650299662
1.1140000551351763,2.009260650299662
1.1446898880068856,2.0433809740856503
1.1446898880068856,2.0433809740856503
1.1446898880068856,2.0433809740856503
1.130115873753402,2.000606347967592
1.1650243494119008,2.007777478181415
1.158007605449355,2.0116200243036273
1.1397155282677638,2.039165465021309
1.1432718235996537,2.0266212614884207
1.1647183496261577,2.0054568834095434
1.1492225239221077,2.0065691304788653
1.1365170765094148,2.006713025851229
1.127221811690503,2.002762185326208
1.14798496712066,2.001844683892698
1.1343166597712933,2.000916346611205
1.1523104380160811,2.128753068524415
1.1500770643715044,2.0306429323566006
1.1672337425430586,2.010290031929987
1.1511236149117325,2.035131321458959
1.142533015197649,2.012970033732516
1.1163990211394748,2.0182801078366848
1.1154556703487897,2.0633905404321897
1.1128599569713602,2.0380222204897507
1.1548755597693008,2.0110094215785432
1.154401761839224,2.0291320212001245
1.1388726449474948,2.0177605145770414
1.143708892641035,2.017503563371191
1.1548818919636745,2.0213744326424417
1.1423189935384794,2.0122672444185135
1.1536559145156007,2.036301486575979
1.15346490049951,2.0161533857407545
1.1109115088167372,2.0500038373536276
1.120265680718636,2.003727203005322
1.1239736897649113,2.020213128729116
1.1284250016064667,2.016865727304665
1.1663878427668624,2.0231462594293306
1.1302558017241484,2.012085310687402
1.1468945780083915,2.028128213913324
1.1414424063562723,2.0284660069919247
1.1414424063562723,2.0284660069919247
1.1252635790481382,2.023142642695932
1.1197001087995304,2.054679064195282
1.1197001087995304,2.054679064195282
1.1551598979672049,2.010318454010799
1.1528088746320193,2.0072262926505244
1.1744112677755674,2.068258430662588
1.1777085949157575,2.0655166323895364
1.1777085949157575,2.0655166323895364
1.1721727361229404,2.0031644071302086
1.178216798122737,2.001314818957942
1.170644777347068,2.002213907911148
1.1754370375857381,2.0034437089872688
1.1452094695410777,2.026050227752132
1.1458849615661093,2.015261419056094
1.1458849615661093,2.015261419056094
1.1646743195924951,2.0012108601655294
1.1896953970912696,2.013596265483882
1.1681071194125845,2.1014510071523658
1.1647184670209623,2.022065829027335
1.1647184670209623,2.022065829027335
1.11901514015098,2.0212191670741846
1.1725129321454468,2.0063025179146914
1.1170799787461818,2.0389976740111115
1.1420223712793238,2.017391262364974
1.1670700513431624,2.012328520428982
1.0979103645069246,2.0149674642828446
1.1011870659142229,2.012618313933381
1.1158542049023088,2.0726542870820372
1.115033075439714,2.035941960514383
1.175839845690283,2.0153379737041606
1.1130804643693064,2.0174848158427796
1.1409588104512247,2.0136033386512198
1.1395503012687915,2.041117376780573
1.1752869455511281,2.009453188318014
1.154800546002427,2.026712280035179
1.1387405209883512,2.022049975004601
1.1528745650353047,2.0095551624914365
1.1386190471435993,2.0071457442113165
1.1755228287811625,2.0583089469069193
1.1755228287811625,2.0583089469069193
1.1159459459613095,2.00487897616581
1.1544719093520595,2.0164458227702466
1.1761562066039875,2.0041030236318305
1.1721098178418972,2.00157586536875
1.1653565510187542,2.0030456902553566
1.1381357195443298,2.001920159607103
1.1542457797596049,2.044590931535802
1.1399229431102316,2.028696857640161
1.1345389263536352,2.014160333125162
1.1644113507360394,2.024483616486023
1.1455741348078112,2.0203031889795686
1.1483175312651652,2.0034958810879204
1.144747885729439,2.0085520823152887
1.1315852721015793,2.0266959320121583
1.1365225873383313,2.0062871282828905
1.1292998402025722,2.014292184744651
1.1263181302890966,2.0109688935552366
