draw,q,seed,averted_total,rel_reduction,factual_total,counter_total,S0_0-4,rho_0-4,averted_0-4,S0_5-9,rho_5-9,averted_5-9,S0_10-19,rho_10-19,averted_10-19,S0_20-29,rho_20-29,averted_20-29,S0_30-49,rho_30-49,averted_30-49,S0_50+,rho_50+,averted_50+
50,0.31566222158925,43.56508218480661,7216.465682010011,48.98823103789159,7514.553440579238,14731.019122589247,0.4411336896688892,0.029905662279162786,3396.8969891621387,0.2959719855605102,0.011426279843614521,525.277790323205,0.4192938953349559,0.004062445660255205,558.2825639188902,0.45153260204857054,0.005277427892244279,936.9435861898589,0.30712027888248417,0.007350266242603312,1644.1165188079667,0.026966284429153872,0.01899679523211566,154.94823360795093
51,0.31878520169492686,43.05388972876098,7786.756330019663,52.23730919741888,7119.747181850393,14906.503511870054,0.3971997797189079,0.03789932059931086,3845.779023264715,0.2694695217581464,0.013207879064658241,568.4115382557594,0.42608642996540663,0.0038561850219576226,537.2617652224927,0.3726235532505396,0.006847298611613765,1042.7257013759386,0.3241961208951608,0.007374601170286103,1676.032273405081,0.017121119422352,0.02269661871768914,116.54602849567708
52,0.3146327645276867,48.729286746149704,7950.387216654349,51.72203129932562,7420.987450832869,15371.374667487218,0.39984547017904143,0.03714994558164012,3784.7625917004502,0.2288660619967276,0.01889176627885658,717.3500751697158,0.42255386905291537,0.0039435467991110916,552.0718876519583,0.44537391325620374,0.005643578765724588,989.7324415076079,0.3054636900276205,0.007988707067674659,1751.2927452706874,0.03468708713342275,0.014832208824470446,155.17747535392806
53,0.2978736919894965,44.82949148406462,6404.180713688214,45.55330583291261,7654.471225159973,14058.651938848188,0.47904863123873664,0.024517358395415117,2739.893154046994,0.2955098221325059,0.011622779404744628,494.550933897477,0.46633126177135753,0.0035008190460515468,472.6350317003275,0.4357665260662728,0.005848772537339729,937.6857121787758,0.3075033268634597,0.007703121999803944,1596.9442170513569,0.01468530517634133,0.0407807748371802,162.47166481328316
54,0.30960761687250354,39.803916625651624,7252.25831646626,49.95189769264315,7266.225768142128,14518.484084608388,0.41969490073869675,0.033184112952747195,3406.047144190299,0.31469062946612725,0.011054667037772527,512.4220671394312,0.45118563776690873,0.0036877764676010024,508.62794758800084,0.36349629845547127,0.007072491937043577,1014.8738380372477,0.2997889639545421,0.007970917342703592,1651.285217817817,0.030736132300027055,0.018300918043574997,159.00210169346343
55,0.31325200562873134,36.60340120587011,6892.754363916862,48.79858123504052,7232.1529376245635,14124.907301541423,0.4493230680181204,0.029605296875583723,3196.4148824347963,0.3021572769850676,0.011178064810532242,496.4866446511714,0.453342941621576,0.0034512810668897833,467.19994364169,0.3996039218441109,0.005966187760832856,915.5883949314662,0.27480957908436066,0.0085379756285303,1661.976426889558,0.014368057821138855,0.03860719658323713,155.08807136817958
56,0.304969696356274,41.45637944541801,7100.691636214936,48.36235479462282,7581.578626200885,14682.270262415817,0.4361175381501246,0.031121407607319,3244.3576197516313,0.3087085820109,0.011541546105010977,513.3324179439796,0.460626162233242,0.003585413080977124,486.6047458954026,0.41178324112551046,0.006376761146063365,985.2092879046237,0.27898390501387105,0.008772265996600493,1701.0638527451997,0.031049120879380426,0.019993221426784853,170.12371197409902
57,0.30074070150931964,46.356151161030084,7490.35406736072,50.24777120082999,7416.484362195326,14906.838429556046,0.3980494533400057,0.037969303400819054,3754.522770028627,0.2410961695701076,0.014983149663313006,559.2607897920041,0.45624511555543784,0.0035554967189961604,489.84423107651025,0.4449473608349269,0.0056684482965802165,944.3226300275153,0.3222256839597847,0.007320842737286924,1594.5294156698737,0.02794497866173962,0.01889571066029205,147.8742307661892
58,0.31177773406450315,72.41784646543114,10296.378715672045,57.23924467128796,7691.9416662648955,17988.320381936937,0.3607452524889491,0.0595166177246174,5141.49523897729,0.24009770578081568,0.021768748891527474,861.1758870543629,0.41026728680416263,0.004107144051403631,593.3815531607622,0.41468941315965324,0.00728305963092406,1183.4278742667368,0.2818666335257496,0.011922231623660807,2342.6980547029416,0.02423438515861645,0.024483227807450506,174.20010750995172
59,0.29674893592367013,42.955024358849535,7399.260015210944,50.37032841066682,7290.459604810475,14689.719620021415,0.38669301058908273,0.03922546931469679,3741.4829105048634,0.2426556471349495,0.014801334444076658,545.7861513171921,0.4707982668600095,0.0036667526043460317,506.6944057994791,0.4552212749821773,0.005418483589804514,904.9903751326627,0.3076034844740242,0.00757316739844543,1572.5438272171623,0.02638525808724991,0.017764208247483964,127.76234523958479
